  500   50000
  162     251      16
  460     372       8
  199     110      15
  423     291      35
  216      90      28
  267     392      48
  160     350      20
  264      19       6
  475     196      20
  488     113      44
  418      19      30
  500     347      27
   58      60       3
  314     359      34
   61     434      48
  205     372       3
  328       7      46
  226     248      18
  123     332      33
  470     288      22
   38     186      11
  176     492      48
  320     189      12
  433      31      16
   22     312      23
  408     458      42
  229     328      34
  147     211      23
   94     175      37
  261     174      24
  125     226      17
  249     304      22
  399     196      32
   46     291      45
  124     189      45
  219     418      48
   10      38      33
  483     274      14
  276     178      29
  282     401      31
  236     443      33
  128     455      21
  467     442      37
  197     267      27
  291     324      30
  175     132      45
  262     253      19
   68     289       2
  268     374      33
  226     327      47
  262     361      40
  241     306      16
   96     345      10
  313      52      37
  132      92      25
  322     234      42
  187     231      25
   20     417      50
  466     490       3
  212     236      29
  292     262      13
  417     346      19
  189     322      33
  242      84       1
  370     269      30
  283     306       9
  105     327      47
  162     459      38
  379     109      37
  248     352      19
  435     316       8
  404     357      11
  291     151      24
  433     299      37
  166     350       6
  151     168      30
  206     396       2
  245     465      13
  174     225      29
   79     402      22
  405     178      28
  166     320       2
  243     207      19
   11     214       9
  179      90       5
  193     147      11
  145     446      34
  175     395       9
  251     379      42
  232     476      36
   22     124      23
  241     392      32
   52     389      45
  408      86      28
  135      99      34
   30     461      42
  235     119      35
  314     166      40
  288     437      18
  135      64      39
  305     392      33
  218     174      41
  317     377       7
  162     385      43
  234      39      23
  178     239      16
  284     306      38
  469     158      29
    4     423      36
  400     474      25
  190     149      42
  250      31      20
   28     444      45
  414     190       1
  352     376      39
   83     403      32
  244     207      25
  396     491      47
  357     454      20
  275     244       7
  448     364      29
  171     437      43
  250     328      46
  232     140      36
  218     465      49
  169     199      21
  361     414      35
  411     390       8
  316     234      44
  421     302      40
  181     159       1
  323      51       3
   67     177      20
   24     332      28
  459     458      30
  282     135      46
  241     486       6
  228     292      20
  388     312      48
   60     350      37
   60     404      17
  109     397      46
  195     128      34
  483     452      18
  484     177      35
  324      21      25
   94      83      13
  106     288      37
  253     111      47
  389     486      29
  355     323      45
  497     188      26
  300     318      18
  237     153      27
  237     359      18
  464      55      27
  186     481       2
  429     395      27
   99     384       1
  409     497       2
    6     183      34
  114     114      22
   33     492      29
  184     273      48
   39     224      47
  353     426      19
  143      71      27
  402      28      26
   71     274      41
   37      33      21
  177     118      14
  132     310       3
  148     258      45
  178     241      16
  137     470      44
  397     367       1
  264     407      40
  365     441      48
  152      23      41
  490     349      48
  395     130       6
  275     489      25
  175     356      41
  364     319      28
  111     355      21
  268       8      36
  354      29      48
  271     361       8
  475     236      25
  109     419      14
  213     261       1
  436     423      37
  480     254      40
   37     213       2
  284     446      50
  497     488      38
  486     235      12
  326      46      38
  325     132      42
  445     205       8
  177     476      34
   13     385      24
   65      55      24
  273      83      23
  149     102      40
    9     195      31
   54     250      45
  277     213      43
  221     364      23
  480     331      18
  203      88      41
  248      89      14
  121     456      49
  127     271      30
  349     150      16
  138     144      29
   33     368      15
  268     446      39
   59      19      40
   47     446      19
  119     413       7
  441     168      32
   11     267       6
  458     199      21
  231     302      19
  147     480      23
  223      65       8
  408      46       4
  189     415      30
  142     439      36
  287     306      34
   43     108      45
  287     489      26
  338     217      50
  283      20      31
  223     228      48
  160     404      33
   39      90      19
  353     436      19
   82      32      18
  476     198      26
  493     455      36
    5     455      15
  138     208      45
  480     331       1
  313     282      16
   17     189      50
   41     109      47
  294     119      50
  179      32       4
  277     406      11
  488     295      30
  472     133      46
  106     117      39
  276      87      38
  407     498      12
   40     199      40
   92     459      26
   48     201      37
  332     491      21
  176     327       5
  248     347      34
   16     498      37
  327     436      24
  498     448      23
  367      76      15
  196     441      19
  318     190      24
  283     292       6
  174     272      45
  479     387       1
  121     149      14
   48     254      39
  309     280      44
  355     433      21
  151     474      41
  245      26      10
  448     467       9
  110      92      45
  424      68      31
  452     472      13
  425     500       7
  358     225      49
  319     172      31
  289     192      36
  468     325      28
  158     394      17
  293     342      22
   33     361      20
  426     271      24
  354     485       5
  272     325      29
  107     296      12
  124      53      47
  344      78      30
  368     250      43
  397      55      33
   72     400      10
   82     120      46
   88     312      20
  359     386      19
   31     164      16
  168       3       6
   27     466      19
   43     443      23
  497     286      19
   32     279      23
  150      50      33
    4     482      10
  446      10      43
  386      12      31
  241     172      34
  165     438      40
  218     407      25
   40     462      36
   20     362       3
  140     110       6
  407     306       8
  131     220      20
  491     487      50
  272     346      22
  175      23      36
   87       4      31
  307     298      23
  306     230      44
  248     214       7
  478      42      21
   39     153      11
  479     439      13
   79     114      40
   23     354      14
  314     103       3
  264     181      45
  408      88      28
  353     222      26
  137     329      50
   45      64      45
    3     372       4
   97     383      43
  346     143      35
  128      62      48
  453     252      11
  243     321      22
  297     222       3
   33     103      48
   36      45      23
   72     275      31
   20       9       5
  479     460       5
  134     376      14
  438      81      19
  157     500      33
  303     119      20
  340      43      50
  298      49      49
   96     120      36
  279     311      30
  485     162       2
   21      35       8
  276     302      16
  199     421      22
  214     123      37
  141     444       1
  252      77      35
  158     254      36
   23     223       1
  304     465       6
   30      14      37
  356     124      32
  110     467      47
   48     412      48
  487     152      10
  365     132       7
   86     302      12
  170     491      16
  308     373      39
  138      11      29
  224     375      12
  465     350       8
   71     285      28
  392      48      15
  367     377      43
  122     137      15
  300     397      42
  300     150      43
  177     306      38
  311     454      12
  322     469      30
  153     317      21
  103     391      17
  230     475       4
  213     338      48
   70     464       9
  355     475      32
  262     147      11
    1     441       5
  380     124       3
  487     249      40
   84     459      49
  476     191      17
  125     167      32
  150     384      30
  197      79      25
  355     168      16
    3      41      41
  344     105      14
   61     471      39
  462     409      49
  257     201      43
  377     307      43
  315     274       5
  356       8      20
  346     111      18
   58     447      35
   10     112      49
  418     405      29
  224     268      28
  120      96      34
   68     407      10
   66     470      48
  308     286       7
  341      98      41
  236     221      48
  272     188      45
  254     154      20
  400     153      48
  130     120      38
  440      92      29
   52      28      34
  262     490       1
  249     154       8
  467      52      16
  144     270      30
  130     284      39
  438     308       3
  204      43      19
  420     169      50
  354     441      23
   80     111      13
  177     174      50
  164     151      10
  233     147      42
  374     347      21
  290     426      14
  457     230      48
  133     110      17
    6     389      30
  390     378      47
  351     185      39
  476     182      40
  368     470      32
  419     272      18
   41     284      42
  157     328      17
  430      51      48
  348     246      46
  474      60      40
  500      35      42
  403     485      28
  109     305       2
  446     457      37
  300     130      12
  111     248      25
  317     181       4
  356     106      50
  360      78      36
   70     309      44
  496     396      40
  229     468      16
  268     172      37
  186     210      31
  141     158      41
  327      64      19
  362     204      30
   24     297      33
  153     379      13
  458     365      43
  387     135      29
  439     479      26
  116     341      21
   55      26       7
   36     412      30
  108     246      24
   75      32      30
  194     209      43
   27     321       3
   12     270      37
  341     499      16
   68     350      25
  155     479      14
  128     109      36
  416     207      28
  500     203      27
  216     407      19
  470     180       5
  175     273      43
   51     384       5
  297     254      50
  212     417      42
  487     440      38
  192     192      26
  136     117      10
   47     117      28
  461     238      43
   85     367      46
  443     496      43
  260      45      48
  298     366      24
  365      53      21
   37     248       7
   91     371      13
  387     187       1
  217      10      25
  188       1       7
  196     494      23
  133     133      10
  335     304      38
  312     377      36
  242     255      22
  217     367       7
   11     316      42
   28     293      33
  429     326      38
  441     171      49
  222     295      17
   53     119      47
  348     105       1
  354     466      23
  365     497      27
  255     374      26
  229     403      19
  339     450      33
  223     109      44
  323     219       1
  133      90      32
   28     390      20
  221     130      39
  442     375      30
   87     256      32
  139     176      36
  292     309      30
  437     412      36
  409     303      25
   83      87      38
  207     168      17
  328     131      14
  181     363      42
  370      33      15
  377     489       8
  161     490      24
  473      75       8
   46     467      25
  189     247      49
  368     217      31
  322     308       8
  498     364      20
   65     370      11
  118     126      16
  189     480      25
  262     243      48
   86     256      35
  383     261      46
  418      89      28
    5     353      42
  382      79      29
   49     144      15
   72      50      15
   88      49       6
  233     436      40
  104     434      44
  182     193       3
  459     371      40
  287     277      33
  483     294      32
   51     392      47
  313      40      25
  474      46      22
  386     311      33
  350      61      49
  232     118       2
  495      95      36
  294     111      12
  325       4      37
  271     105      17
  378      91      46
    4      60      13
   18     121      14
  465     322      44
  199      71      28
  487      77       8
  268     422      28
   94     409      23
   26     172      49
  389     378      41
   83       1      27
  278     479      21
  493     405      29
   38     209      33
  300     477      47
  228     247       8
  120     387      37
  209     482      24
  462     344      48
  232      55       5
  218     187      25
  376     150      39
  203      49      31
  344     130      27
   66     123      36
  415     389      16
   51     366       1
  489     300      23
  296     277      14
  345     252      31
  301     282      23
  395     184      43
  362      74      30
   27      66      14
  240     334      33
  432      53      40
   35     136       8
  270     260      28
  264      71      20
  404     188      11
  384     267      24
   41     123      32
  290     158       9
  256     339      10
   10     313      13
  465     444       8
  261      25      11
  435     468      25
  287     181      26
  121     498      25
   93     158      36
  383     476      48
  462     366      49
  374     306      21
  164     101      45
   47     292       2
  476     429      32
  272      78       3
  421     171      35
  202      85      47
  277     463       5
  124     183      12
  375     248      47
  477     376      40
  107     498      14
  282      73       1
   87     499      24
  188     446      23
  339     201      11
  198     309      22
  377     143      40
  150     176      22
  482     320       6
  365       1      29
   78     271      37
  483     408      23
   43      31      29
  201     349      27
  359      21      45
  449     308      16
   80     305      13
  334      59      31
  436     485       3
  499     497      20
  304      53      42
  377     272      22
  464     207      26
   50     119      42
  272     339      30
  347     247      12
  416     233      42
  251     335      34
   15     106       4
   14     325      10
  458      12      45
  179     392      40
  196     459      21
  373     485      49
  126     193      20
  110     425       2
  267      57      23
   41     308      24
  201     374      44
  185      16      11
   65     101       2
  127      37      30
  139     482      40
  394     167      32
  194     140      19
   31     117      24
   86     104      48
  312     237       3
  219     305      16
  225     152      13
  373     270       2
  255     345      30
  474     364      36
  172     437      29
  364       1      27
  405      78      48
  282     105      38
  197     126      23
  168     239      28
  196     283      35
  105     302      42
  366       2      32
  271     368       1
  461     149      29
  479     454      36
  285     335      15
  237       1      13
  178     120      27
  223     196      47
    8      66      37
   78     376      49
  236     335       4
  167     129       1
  445     162       6
  352      62      11
  170     144      39
  185     239      36
   51     123       2
  491     117      45
  168     470      35
  444     470      40
  375      75      37
  291     230      17
   65     450      18
   71     439      45
  388     441      14
   58     476      24
   74      18      23
  316      95      49
  380     102      47
  285     177      45
  360     499      26
  365     323      24
  125     341      19
   47     405       6
  493     130      20
  212     369      40
  412     116      10
  346     275      43
  339     399      46
  274     162       9
  235     304      12
  385     400       3
   61     228      38
   55     152      48
  136     238       8
  429     441      47
  474       5       9
  390     300      50
  269     477      45
  198     267      31
  346     299      50
  324      14      16
  382     378      39
   52     287      10
  433     448      32
  444     248      24
  493     249      50
   38     448      26
  213     493      26
   71     345      16
   50      89       6
  229     170      38
  492      97      50
  135      41       2
  185      10      41
  440     313      16
   95     125       4
  479     146      16
  119     483       7
  478     207      25
  188      22      27
  135      94       2
  110     402      46
   58     130      31
   86     215      20
   27     185      22
  489     313      12
  366     175      30
  303     276      36
  374     349      30
  141     106      42
  350     271      39
   17     195      27
  333     255      17
   11     276      30
  180     113       4
  416     320      21
  100     137      15
  444     366       6
  234     373      42
  461      48      14
  468     474      48
  405      30       4
   63     214      27
   27     439      19
  163     345      45
  319     375      41
  262      30      37
   16     408      40
  388      11      38
   38     155      45
  342      79      26
  393     216      22
  265     346       2
  432     247      22
  250     464      37
  289     105      20
   25      55       4
   22     161       3
  427     233      17
   19     192      29
  282     356      19
  194      10      20
  463     443      50
    9     301      29
   87     443      33
  333     197       4
   78      54      34
  167      44      11
  347     404      13
  319      81       6
  141     424      26
  163       5      27
   89     370      38
  297      81      36
   35     379       6
  251     133      37
  339     135      44
   82     303      31
  446     307      12
  377     247      44
  289     422      18
  351     415      28
   32     405      33
  182     301      44
  140     461       5
  244     118      41
   55     387      40
  306       8       7
  407     450       8
   35     417      16
   94     408      26
   14     419      28
  388     281      46
   71     349      13
   44     156       2
   52     342      20
  370      34       1
  151     494      49
  413     277       4
  238     421      36
   32      11      50
  416     305       7
  152     100      20
  475     285      41
  135     380      15
   23     274      24
  219      39      49
  259     103      50
  415      53      43
  466     322      13
  328     404      13
  126      89      12
  362       9      21
   44     129      46
  346     219       7
   42      31      45
   83     104      28
  475     274      33
  438     500      24
  169     363       8
   34     406      42
  310     141      45
  275     233      27
  238     491      48
  429     386      39
   44      97      38
   47     446      43
  278       5      46
  160     416      14
  449     172       1
  489      67      18
  321     372      14
   70      46      30
  191     151      35
  287     230      26
  220     351      10
  146     409      30
  465     249      42
  227     446       2
  176     433      42
  428     324       9
   23     109      34
  178      68       4
  144     178      25
  165     266      16
  170      61      40
   85     160      10
  331     489      43
  378     346      28
  208     483      30
   66     273      15
  121      70       1
  162       2      36
  338      38       7
  134     251      14
   15     492      32
  336     413      19
   29     153      30
   52     499      41
  498     281      12
   29     134       3
  464     223      38
  394     287       5
   73     232      43
  233     378      32
  312      42      26
  135     107      17
   87     143       7
  125     128      38
  467     421       8
    2     490      40
  267     353       2
  405     358      14
   19     336      48
  425     385      33
  139     358      25
  213     311      44
  315     194      11
   12     188      40
  249     248      46
  138       4       8
  254     192       8
   19     283      47
  133     245      16
  426     422      48
  154     113      41
  437     170      46
  409     374      33
   73     394      32
   30     187       6
   14     176      37
  204     458      46
  274     359       5
  133     438      47
  362     472      42
  190     360      31
   89      71      50
   76     282      27
  100     157      16
  321       3      14
   49     424      24
   97     484      33
  404     336       4
   72     108      34
  430     438      42
  157      77       4
  360     468      33
  196     128       3
   26     266      39
  159     438      10
  500     183      22
  153     377      33
  335     313      17
   98      94      43
  399     437      15
  285     244      20
   47     460      17
  477     153      25
  214     173      10
  197      86      21
  306      83      27
   12      40      19
  417     356      33
   59     214      36
  191     230      49
  115     152       9
  407     478      18
  277     475      39
  187     473      30
  423      47       6
   11     469      14
  378     442      39
  260     451      36
   16     432      15
  158      27      16
  424     227      25
  370      11      32
   50     389       5
  100     163      28
   66      27      37
  299     372      42
  388     329      20
  134     412      11
  263     429      25
  435     313      31
  349     152      16
  464     414      27
  470     405      33
  430     110      12
  113     278      29
  291      66      14
  224     172      44
  363       5      50
   12     130      17
   14     418       2
  365     124      47
  232     485      16
  281     331      42
  277      93      36
  294     120      42
  328     140       1
   58     237       6
  151      34      22
   54     457      41
  205     350      23
  115     406      41
  153      33      39
  495     249      45
  389     290      27
  389     251       3
   80     321      47
  162      29       2
   15      20       1
  306     105      50
  381     484      43
  167     431       5
  315     376       6
  487     130      34
  163      55      25
  196       4      10
   87     290      39
    5      67      41
  442     301      25
  272     462      18
    2     151      29
  458     406       5
  177      46      10
   52     302      42
  273     345      46
   42      70      28
   67     381       8
  492     256       2
  295       3      47
  177     266      21
  214     369      22
  218     106      19
  236     350      35
   84     188       2
  440     308      42
  254      23      35
  483     128      49
    9     465      16
  472     196       9
  118      47       3
  179      84      21
  398     361      18
  291     406      42
  369     155      24
  271     326      28
   55     264       5
  403     171      10
  176     372      17
  217     192      19
  347     420      43
  406      88      26
  151     218       6
  251      39      37
  425     175       9
  180     478      23
  481      11      19
  240      19      44
  100     461      10
  468     153      19
  141     228      42
  107      84      32
  229     169      33
  284     115      23
  316     348      39
  128     262      28
  376     210       9
  410     301      23
  146     202      17
  272     136       8
   83      53      23
  329     259      50
   93     176      47
  230     141       1
  242     134      34
   34     160      30
  232     117       4
  238     442      49
  423     206      41
  135     208      16
  271     115      39
  202     167      41
  500     319       2
  437     153      24
   26     248      17
  314     371      27
   92     467      33
   95     223      46
  238     173      36
   28     370       7
  286     408      17
  399     151      28
  281     166      41
  318     380      44
  115     342      42
  200     266      44
  230      23       5
  383     491      32
   51     179      20
  178      89       2
  148     113      23
  243     345       4
   13     309       2
  117     442      19
  251     257      32
  324     156      23
  345     373      41
  136     480      27
  432     254      10
   97     182      35
  471     325      49
  247     129      22
   53     117       5
   61     446       1
  481      34       1
  251     215      26
    9      88      27
  105      35      20
  226     171      27
  114     235       5
  217     156      39
  199      19       8
  462     286      18
  481      90      21
   57      15      47
  464     269      38
  228     243      37
  288     433      29
  152      54      45
  437     491      31
  213      28      42
  480     460      11
  216     350      29
   93     193      46
  269     324      45
  255     236       5
  194     390      27
   13      59      33
  152     476      19
   22     112      18
  155     102      19
  242      37       9
  373     417      33
  287     179      44
  416     286       5
  424     471      31
  288     189      40
   45      46       8
   94     456      47
  174     376      22
  108     150       8
  415     455      27
  467     138      41
   28     138      18
  273     174      48
  380     263      36
  335     400      41
  187     295      33
  402     458       9
  441     366      17
  272     211      37
  261     302      16
   93     439      10
  298     348       4
  277      96      44
   64     166      34
   88       9      33
   99      94      35
  262      73      22
  364     120      45
  404     343      49
   25     192      37
  146     403      18
   98      21      26
  292     462      48
  333     117      14
  464     378      50
  477      86      46
  465     316      39
  158     286       7
  497     176      41
   24     398      30
  497     327      38
  198     379       5
  227     303      10
  421     302      14
  425     242      24
  239     392      34
  425     394      40
  329     409      41
  491     298      12
  312      26       2
  344     396      49
   39     384      37
  221     298      37
  445      69       3
  212     267       3
  400     323      23
  129      62      15
  181     191      35
  249      21      23
  228      36      40
  258     393      23
  166     227      50
  337     381      18
  199     200      10
  396     209       3
  129     360      46
   87     185      26
  448     258      37
  396     484      12
  108     419      18
  355     112       3
  459      77       4
  355      39      49
  454     223      11
   43     495       1
  453     132      24
  178     391      17
   21     469      34
  308     368       3
  166     257      33
  194     453      23
   27     312      30
  238      36      19
  498     354      28
  139      64      26
  175      82      36
  143      87      48
  471     435      44
  480     354       7
  329      85       5
   20     349      34
  351      74       7
   22     436      38
  342     189      43
  464     198       5
   70     285      22
  461     286       4
  394     467      20
  274      84       2
  474     185      28
   11     365      50
  348     129      47
  109     457      48
  356     444      46
   53     371       6
  312      14      30
  201      35      38
  231     303      48
  258     130      34
  218      84      35
  434     264      41
  267      82      36
  328     424       2
   72     180       7
  493     165      29
  178     315       4
  375     462      36
  253     134      13
  145      77      37
  262     420       9
  487     234      47
  348     301      27
   33     434      19
  460     242      14
  138     250      48
  287     275      12
  421     432      36
  405     178      35
   76     433      29
  275      75      26
  497     449       3
   33      42      32
  434     279      28
  243     468      45
  161     308      17
  191     140      32
  363     208      17
  418      97      12
  413     208      19
   97     371       1
  500     406       9
  351     381      47
   34      15      22
  292     203      41
  299     363      44
  393     324      50
  389     387      13
   93     402       5
  370     194       1
  428     125       9
