 2000   20000
  577    1414     182
   66     521     126
  416    1918      97
  538     365     389
  517    1004     158
 1143     415     271
  120     241       8
  595    1395     121
  142     101     245
  148     671     438
 1868    1039     324
 1755      14     146
 1792    1845     217
 1536    1575     447
 1664    1633      90
  424      82     457
 1763     544     381
   41     169     229
  916     689     129
  310    1947      21
  209    1405     259
  888     403     149
 1703     934      54
  221     176     389
 1569    1136     432
  773     328     480
  939     775     180
 1409     826     117
 1071    1361     330
 1840    1565     160
 1745     521     307
  984      35     485
 1921    1323     230
 1751     655     374
  359     522     278
  463    1964     250
 1421     558     137
 1282    1858      88
 1995       8     269
 1692     788     179
 1267      14     217
 1321    1401     487
  404     919     104
 1646    1760     101
 1161    1202     346
  692    1709     409
  545    1923     435
 1593     790     465
 1761    1051     401
 1878     921     435
 1012     528      22
  558      41     340
  554    1922     430
 1832    1613      23
  556     107     228
  440    1437      95
  894    1035     301
 1374    1955      89
 1360     183     500
  904    1039     343
  630    1353     108
  107     836     345
  897     740     278
 1635     216     224
  793    1067     168
  842     325     174
  842     913     186
 1650    1378     169
 1619     127     309
  633     725     334
 1749    1673     288
 1886     167     300
  523    1533     315
 1485    1784     154
 1908     209     290
 1615    1263     391
  351     771     306
  350    1279     329
  710     562     247
 1598    1375      37
 1094     747     495
  460     728      45
  904    1434     158
  115    1237     191
  398     229     112
  829      19      94
 1885    1153      97
  924    1994     194
 1124    1069     345
  613     370      86
   21     160     288
 1444     990     491
  225    1053     366
 1692     228     490
  373     921     464
  519     957     426
 1854     926     209
  155     863     300
  472     193     210
 1795     111     336
 1156     194      31
 1130    1935     284
  714     465      71
  722      64     453
 1766     585     259
 1329     308     229
   98    1519     157
   42    1133     426
  826     669     119
 1019    1720     112
  602    1960     486
 1128     626     436
 1922    1412     186
 1213    1957     485
   96     688      61
 1863     578     200
  647    1912     369
 1796     209     254
 1116    1790      70
 1542    1434     191
  944    1937     133
  579    1283     151
  794     351     393
   36    1500     240
 1669    1155     478
 1389     890     282
  457     356     451
  806    1039     153
 1040     816     344
  814    1432     389
   10    1336     185
 1834     180      29
 1540    1466     422
  151    1296     393
  721     764      16
  735    1021      62
 1826     241     339
   91     404     307
  843     795      44
  850    1647      99
  233     801     375
 1511    1892      36
  315     383     299
 1346    1979      56
  491    1437     490
 1693     359     201
 1101    1802     182
  449    1928     174
 1906    1434      36
 1981     626      39
 1024    1361     275
  397     419     112
  187    1624     172
  359    1020     433
 1431    1289       7
  548    1009       1
  262     753     145
  778    1526     196
 1878    1238      77
  642    1248     328
 1435     108     333
 1047    1378     264
 1844     411       2
  473    1271     376
  445     408      46
   43     122      19
 1055     233     369
  119    1691     143
 1201     606     346
  895    1769     121
 1495    1555     382
 1232    1947     381
 1798    1703     317
 1872     354     408
 1707    1210     380
 1505     625     429
 1075    1410     200
  822     433     210
  828    1622     174
 1774    1491     220
 1899     703     145
  787     311     411
  436     532     287
  734     853     499
 1573    1889     408
  567     381      97
 1833    1122     281
   42    1469      61
  387     331     390
   61    1761      76
 1551    1585     335
 1184    1502     297
  758     850     133
 1634     983     248
 1660     456     123
  855    1684     288
 1579     613     428
  401    1047     306
 1134     487     235
  104     427     392
 1011     628      20
 1509    1351     247
 1820    1177     144
 1211    1445     369
   97    1534      11
 1684    1894     333
 1478     568     127
  508     104     368
 1339     551     286
 1356    1970       8
 1493    1942     236
 1717     449     420
 1236    1059     422
  400    1477     115
  357    1193      96
 1799    1209      26
 1382     959     273
 1805    1200     264
 1803     769     431
 1256     292      93
  583    1194     159
 1487    1385     106
  288    1384     323
 1993     517     123
 1676     862     282
  640    1919     100
  855     125     115
  454    1553     313
 1828    1453      42
  976     828      87
  951     137     306
  727     661     161
 1439     299     447
  308     877     397
 1280    1462     327
 1872    1233     362
 1757    1851     382
  342     709      72
  872    1617      94
  219    1369      83
 1762    1513     149
 1158     145      99
  668    1171      67
 1936    1601     173
 1336    1843      37
 1974     863     220
 1765    1689     319
 1812     815     322
 1831     370     458
  173      34     400
  999    1525      33
 1632    1332      34
 1299    1894      62
 1188     301     383
  494    1221     425
 1360    1742     441
 1815     127     463
  395    1479     363
 1243     126     254
 1690     317      61
 1249     897     376
 1565     100     274
 1121    1701      91
 1423    1819     320
  500     429     270
 1421     286     230
   82    1449     316
  207     694     182
   76     706     248
 1173     528      62
 1964      31     201
  531    1595     371
   58    1635       5
  833    1174     184
 1574     117     262
  806    1586     192
  845      65     320
 1589    1512     262
  715    1153     408
  834     788     119
 1577     931     105
 1812     983      67
 1820    1074     464
  433    1791     177
 1903    1652     403
  508     676     150
 1586    1913      63
  613     787     374
  257     563     323
  472     384     480
 1674    1879     362
  538    1361     278
 1872      85     372
 1020     648      40
 1661     283     168
   63     647     179
  777    1185      57
 1566     142      51
  952     131     335
  885    1665     493
  477    1917     345
  608     200     118
 1672     615     130
  351     993     382
 1430    1390     107
  972    1706     101
  598    1451     211
 1479     257      41
   86     463     250
 1103    1975     144
  161     454      47
 1169    1682     163
 1279    1233     360
 1389     368      78
  587     184     125
  934     416     367
 1894    1358     346
  278    1751      99
  958     428     450
 1754     195     315
  405    1256     285
  383    1503     122
 1173    1740     322
  542    1117     138
 1537    1361      14
 1311     764     371
  781     630     228
 1931     474     284
 1384    1917     202
 1641     213     249
 1262    1538     129
  356      28     461
 1685     370     320
 1244     279     114
  607     942     402
  942    1202     238
 1868    1830     155
 1240    1763      35
  883     377     356
  840      93     433
 1162    1686     371
 1209    1177     489
 1007     149     351
  382    1363     431
 1618    1582     439
  508    1870      78
 1368    1828     290
  368     913     354
 1468     265     236
  168     613     394
 1340    1535      43
 1181    1110      71
 2000    1913      92
 1077    1374     169
  805     455     439
 1928      31     159
 1063    1545      21
  623     681      47
   67    1182     207
 1944    1587     181
 1629     496     137
 1836    1327     196
  299    1712      59
  866      96     378
  310     191     118
  654     286      19
 1771    1677     429
 1879    1747      45
  811     363     421
 1184    1123     237
 1805     283     204
  804     455      35
 1991    1492      54
   42     988     336
  282     618      88
 1284    1212     141
 1943     481     408
    1    1192     138
  138     816     273
  177     960      93
   14     233     264
  369    1908     220
 1137    1036     294
 1268    1162     214
 1859    1574     346
  665    1256      55
  554    1141     416
 1346     878     142
 1587     212     159
    2      10     107
 1675     463     167
 1881    1653     246
  674    1971     436
 1683     557     284
  285    1267      44
   57     219     214
  440    1663      72
  590     566     359
  437     879     378
  439     692      26
  558    1126     258
  161     928     385
   65     425     374
  969     546     424
  285     828     471
 1764     699     456
  895    1950     198
 1111    1610     342
 1455    1879      58
 1617    1212      91
  714     673     245
  650     251     476
 1006    1464     172
 1865     816     202
  930      59     343
 1611    1397      46
  966    1919      93
 1189    1211     111
 1936    1094      75
 1757    1255     255
  167    1041     109
  385    1648       5
  450    1535     372
 1963    1309     244
  276    1490     368
 1467    1521     280
 1331     303     311
   39     358     366
 1831    1855      47
  328     746     240
  943       2      14
 1789    1080      32
 1982    1727     217
  882    1924      40
  841     964     413
 1490     599     346
 1867     608      50
 1654    1386     205
  811    1204     323
 1742    1153     157
 1470     834     316
  261    1769     376
  346     447     381
  314     863     479
 1801     178     256
 1758     752     372
    1    1216     456
  366    1472     150
 1240     842      32
 1181     565     469
  173     472     441
  854     335     470
 1285     366     483
  666     890      38
 1593     391     345
  917     424     117
  858     142      31
 1399     193     422
  756    1129     421
 1390    1063     144
  479    1581     373
  225     693      58
  207     772     112
 1075    1393      88
  437     413     186
 1404     122     303
 1732    1399     468
  284     620     356
 1025    1582     322
 1397    1232     228
 1115    1900     463
    1    1915     392
 1701    1463     465
  570     916     312
 1638    2000      23
  812     833     201
   76    1761     112
 1962     962     267
 1116    1365     269
  894     449      22
  587    1603      12
 1556    1268     302
 1726    1870     288
  657     692     301
 1323    1769     289
  425    1258      10
  503     809     477
 1901     398     235
  913     651      57
   85    1043     203
  775    1006     240
 1144     524     163
  131     601     361
 1001     876     136
  378     627     406
    2     295     434
  897    1237     327
 1033    1636      29
 1348    1841     182
 1591     388     187
   98    1413      97
 1422    1402      68
  557    1005      77
 1030     323     301
 1068     266     450
 1954    1849     182
 1747     251     397
 1109    1456     174
  987     626     432
 1800    1228     307
  327    1052     454
 1259    1284     327
   65     661     138
  103    1384     413
  455     691     477
 1751    1036      48
 1213      26     118
  624     640     402
  870    1316     333
 1016    1770     405
 1953    1914     108
  651    1312      91
 1598    1203     178
 1218     953     214
 1872    1395     110
 1256    1757     185
  888    1430     108
 1323    1789      31
  139     686     335
  600     439     217
  432      18     359
  143     338     465
  382      46     171
 1052    1874     190
 1780    1536      79
 1714    1844      51
  129     533      78
 1191    1024     341
  327    1651     320
 1761     765     437
 1656    1277     359
 1373    1315     335
  894    1326     317
 1452     735     492
 1712     571     431
 1593    1923     400
 1794    1183     183
 1579    1222     356
 1150    1848     183
 1277    1731     244
 1405     276     118
 1449     426     331
  596    1770     146
  355    1262      43
  482    1869     356
  657       3     403
  773    1888     220
 1671    1306     332
  948     344     248
   11     575     494
 1938    1640     478
  624    1078     460
 1227    1582     458
  511     350     123
  148     887     484
 1004    1460     477
 1334     240     401
 1307    1606     357
 1721     174      71
   63    1588      76
 1538    1186      86
 1536     786     112
 1090    1087     218
  299    1099     322
 1324    1839       2
   92    1893     244
 1163    2000     221
 1087     495      82
 1429     405     350
  629    1447     338
 1857    1964     173
 1625     480     126
 1605    1177     271
 1223      21      63
 1326     584      78
 1843     827     173
 1966    1853     441
  622    1767     125
  180     924     266
 1010     906      41
 1174     735     238
 1528     237      63
  547    1425     471
 1372    1234     262
  337    1570     174
  857     623     153
  584     166      95
  597    1113     193
  193    1324     459
   95    1264     295
 1128    1149     117
   20     666     336
  772     547      29
 1384     146     397
  425     543      55
  918    1463     243
  763    1025     371
 1750     559     393
  377     734     417
  250    1859     164
  376     814     489
 1163     106     212
 1887     553     142
  940    1026      59
 1939    1648     168
 1127     667     487
 1624    1276     267
 1830     449     351
 1646    1333     174
 1422     993     264
  731     695      25
 1060     166     434
 1989     505     213
 1601    1960      75
  534    1360     157
  399     662     490
 1624    1251     471
 1490     139     458
 1358    1055     453
   66    1869     215
  449     553     256
 1673     866     345
  699     414     467
    7     418     464
  422     543     178
  808    1502      58
 1459    1170     407
 1072     441     499
 1067    1749     169
  173     641     465
  229    1316      45
 1452     288     370
 1592     291     218
   78    1517     118
 1541      47     399
  674    1843     146
 1874      67     360
  223     373      91
 1057    1206     392
 1328    1503     456
  540    1606      10
  115     432     477
 1902     458     390
 1447    1341     298
 1676    1029     169
  497    1617     412
  654    1301     210
 1543    1257      50
  560     980     318
  588     508     146
  334    1319     403
  171     946     429
 1756    1977     129
 1754      86     128
 1333     556     304
  886      33     152
   75     654      51
 1209    1753     469
  135     847     170
   12    1314      54
  266      28     382
 1989     401     415
  374      30      91
  888    1399      34
 1615     810     116
 1429     309     267
  471     840      18
  313    1309     185
  964    1176     189
 1099    1336     490
 1771     634     165
 1140     679     118
 1836     479     358
   77      73     461
  977     515     205
 1836    1898     485
   47     992      65
  817      40     228
 1035    1836     201
 1074    1587      36
  187    1785      12
  810    1771     111
 1175     867      78
  747     325     199
  293    1726     121
 1806    1616      62
 1135    1457     358
  291     886     117
 1512    1574     356
  546     682     232
 1749    1581     318
 1761    1294     379
  692     114     401
 1660      28      77
  454      80     440
  589    1391     432
  990    1216      99
   56    1931     123
 1811    1561     253
  443    1980      60
 1253    1929     239
  350    1248     428
  498     606      21
 1507     218     260
 1909     487     339
 1056     602     491
 1017       1     456
 1063     825     170
 1216    1965      19
 1110    1174     465
    1     592      80
   73     837     103
  247    1108     301
 1784    1850     362
 1479    1291     199
 1949     807     207
 1006      41      54
 1580    1680      30
 1941    1882     160
 1199    1427     283
 1325    1065     212
 1907    1524     186
 1393     239     231
  449    1477      87
  925    1876     165
 1329    1271     400
  866    1678      71
 1726     683     270
 1348     446     223
 1339    1830     386
 1983    1750     447
 1645    1111     229
  892    1274     366
  748    1562      47
  317      69     125
 1195    1815      53
 1108    1721     354
 1319    1329      17
 1453     297     291
 1516     144     443
  988    1545     330
 1436     533     468
  239    1503     218
 1701    1996     418
 1629      59     217
 1341    1288      61
 1711     436     339
 1251      64     109
 1330       2     136
 1221    1098     351
 1832     543      16
  292    1882     108
 1918     431      18
  106    1272     404
 1647      69     289
 1097     327     297
  461    1291     380
 1956     528     356
  115     398     169
 1475    1073     320
   45     570      40
  758    1312     449
 1785    1860      35
  836      70     219
  982     902     433
  626     264      25
  674     735      94
  381    1124     198
 1986    1579       4
  713     478     454
  742     712      60
 1368     485      15
 1541     370     183
  721    1123     207
 1664    1618     400
  180     198     181
  742    1357     148
  676    1468     156
 1821    1826     232
 1996      90     386
  592    1669     154
  144    1099     364
 1527    1811     317
 1160     778     205
 1491     177      42
  580    1119     162
 1901     376     232
 1265     694     396
 1020     886     493
  958    1636     359
  713    1802     264
 1804    1489     161
  252    1527     207
 1851     879     232
  382    1106     219
 1564    1534     486
 1359    1019     211
 1675     227     333
 1082     631     143
  807    1157     470
  298    1626     254
 1991     311     288
  934    1288     373
  140     905     461
 1295    1135     194
  220    1810      35
   50     989      63
  257     380     341
  840     549      95
  223     880     242
 1141    1439     381
  471    1647     304
  147    1710      55
  204    1759      33
 1506    1440     379
  607     699     346
 1643     599      57
 1812     643     479
  621     366     462
 1811    1124     211
 1237     678     142
  581     203     418
  676     354     317
  953    1560     438
  853     930     118
  127     858     469
  249    1723     448
 1854     790     361
  493     228     100
 1985    1875     345
  295     309     168
  468    1010     271
   75      90     423
 1939    1322      87
  649    1944     236
 1452    1559      34
  423     935     204
 1762    1578      46
 1064     997     164
 1302    1583     161
  126      48      67
 1884     565      60
 1705     652      15
 1941    1389      90
  893    1639     266
    9    1326     150
 1830    1001     359
  856    1238     116
 1100     119       2
   28     640     257
  526    1567      15
 1506    1155      45
   57    1563     195
 1719    1788      93
 1944    1407     155
 1717    1520     425
  657     281      98
  964    1530     340
 1060    1660      48
  321     250     238
  273    1163     358
  676     640     173
 1039    1803     301
  481    1347     489
  369     747     483
  858     686     439
 1686     368     488
 1242    1603      49
 1017     205     324
 1386    1205     240
  513     950     167
  141    1230       9
  889    1354     374
  937     825      10
 1778    1949     187
  865    1029     342
   56    1634     270
   48    1363     311
  108     198     418
  818    1185     171
 1678     635     438
  387    1578     122
 1150     459     280
  113     350     458
 1123    1021     100
  418    1030      43
  519    1394     352
 1488    1661     432
  252    1844     178
  692     797     239
 1646    1935     348
 1069     439     211
  194    1373      53
 1084     888      91
 1990    1254     170
 1452     601      24
  415    1557      77
  301    1360      20
 1647     206     199
  447    1816     380
 1168      91     305
 1868    1407     266
 1215     312     418
 1888      70     242
 1696    1815      80
 1249    1891     231
 1233     384       6
 1552    1810     399
 1379    1262     142
  248    1785     262
 1079    1255     112
  766    1378     441
  463     300     104
  352    1681     459
  537     181     295
  791    1065      28
  254    1123     269
 1863    1066     480
 1176     156      90
 1857    1340     146
  586    1795     367
  973     911      45
  351    1070     243
 1117     623     120
  401    1983     134
 1160     796      31
 1558      50     366
  273     439     272
  926    1127     252
  560     709     385
   42    1940     374
 1170      80     443
  506    1276     210
 1106    1703     269
 1236     161     459
 1032     202     499
 1432     844     266
  414    1961     330
 1012     819     151
 1985    1909     161
 1575     865     470
 1218    1249      74
 1471     174     161
 1639    1802      44
  318    1990     100
  486     397     105
  727    1383     431
 1799    1149     324
 1889      38     177
 1215    1863     170
 1293     859     144
  136    1942       1
 1594      66     480
 1226    1648     466
 1819     708     458
 1635     420      47
 1455    1775     350
  475    1671     320
 1994     669     231
  859    1954      74
 1377      23     488
 1869    1464     270
 1171    1977      51
  441     872     480
 1015    1444     293
 1949     718     144
 1717    1612     159
 1903    1277     173
  260     634     488
  999    1353     491
 1095     619     221
  698    1055     205
 1445    1278     478
 1540     297     148
  948     716     288
 1069    1626     474
 1744    1318     489
 1018     684     458
 1680    1288     362
 1804    1385     235
  578     429     447
 1377      14     348
  605    1768     246
 1268     280     326
  510     147     366
  850     560     466
  246    1296     371
 1188     700     345
  319     596     196
  371    1895     424
  722     453     431
 1533    1459      25
 1647    1575     401
  778    1335     479
  857    1468     258
  949     756     318
  567     374     123
 1468    1242     401
 1935     113      62
 1792      23     119
 1432    1450     500
 1236    1496     469
  852     411      16
 1324     116     447
 1901    1632     252
 1759    1837      40
  914    1554     318
  819    1581      48
  317    1374     470
  873     402     414
  129    1559     483
  296     251     242
 1736     415      14
 1352    1755     368
 1611     788     203
   54    1990     140
 1187     782     184
  281     968      97
   45    1566     131
 1014     696     451
 1317    1914     456
  902    1523     313
  582    1021     275
 1077      32     414
 1565    1474      79
 1487    1709     311
  155    1607     248
  679     121     274
  733      35      50
 1735     192     308
 1807     826     123
  816    1950     291
  918     640     428
  784    1920     374
 1347     444     260
 1090    1320      38
  993       2     414
 1436    1104       5
 1793    1584     493
 1695    1257     406
   16     861     269
 1897    1885     448
 1381     857     119
 1256      96     227
  655      29     369
  353    1012     372
 1044    1164     462
  377      84     185
 1272     268     475
 1274    1889     289
 1457    1225     358
 1814    1175     281
 1009    1556      95
 1257    1824     451
 1271    1283     192
  470     437     362
  577    1901      57
 1441    1612     268
 1454    1419     271
  441    1852      90
  714    1390     174
 1398    1712      56
 1326    1996     241
  990    1568     458
 1407     608      23
 1753      50     303
 1930     699     145
 1552     984      70
 1920     823     222
  619    1413     383
 1298    1905     276
 1121    1131     300
  874    1620       2
 1904     696     262
  600    1552     471
 1971    1631     347
   68    1765      40
 1002    1584     101
 1363     827      16
  302    1808      78
  142    1382     191
  522    1105     419
 1521    1250     442
  486    1313     400
  891    1829     257
 1622    1138     317
 1669     360     179
  190     877      69
 1451     851      88
 1946     428     179
  300    1429     208
 1954    1968     202
  164     994     449
  944     365     491
  696    1236     266
 1162     570     363
 1195     163     409
 1848     158     302
   95    1245     471
  257     632     443
  638    1946     225
 1832     739     307
  941     976     496
  422    1494     292
  278    1680     360
   55    1342     454
 1215    1728      65
 1029     567       5
 1994     528     248
 1963    1494     496
  474     352      81
  546     606     127
  199     887     180
 1134     805     220
  988     888     280
 1111    1729     118
  121    1549     115
 1245    1874     280
 1328     205     239
 1222     836      93
 1815    1587     439
  599     368     254
  383     186     366
 1043     983     471
 1650     749      70
 1664     708      25
 1833      59     381
  880    1893      18
  545    1538     441
  550    1125     248
 1908     395     389
  157    1071     191
 1675     990     149
  682     237     306
  558    1179     111
 1918     334     295
  725     669      97
 1004    1994      63
 1983     640     142
  465     403     145
  477     240     395
  431     795     234
 1972     637     277
  847     351     307
  924    1474     361
  586     526      84
  648     637     174
 1291     617     424
 1291    1846     311
 1108    1823      19
  815    1983     330
   77    1886      56
 1325    1680     162
  124     297     321
  832    1233      15
 1780     273     173
  562    1172     228
  881    1867     317
 1491     738     217
  410     862     144
 1678     195     436
  461     849     300
 1478     444     241
  479    1583     199
 1543     297     441
   97      23     484
 1612     655     370
 1141     764     260
 1880    1708     463
 1346    1390      72
 1464     567     162
 1930    1166     438
 1608     982      55
 1700     951     228
  169    1126     408
 1446    1072     297
  725     819     404
 1742     656     365
 1536    1345     296
 1566     822     328
   92    1402     211
 1741    1503     145
  319     472     185
  811    1070     143
   54     810       2
  423    1060     221
 1652     273     190
 1485     776     255
 1299    1803      55
  330    1056     291
  640    1383     247
 1887     700     239
  741    1477     251
 1933    1063     389
 1216    1218     287
 1244    1591     450
  775    1412     466
 1245    1642      61
  892    1685     413
  113     587     495
  552     346     212
  908     659     149
  322     431     182
 1224    1798       5
  506    1492     439
 1976    1540     411
 1288    1491      11
 1571     463     155
 1071     794     256
 1122    1077      31
    9     904     483
  618     192      11
  528     676     414
 1569    1410     330
   48    1000     282
  996    1826     346
  344    1794     220
  502    1568     339
  938    1685     210
  160     628      47
  140    1510     360
 1626    1463     415
  244     425     498
  654     969     376
 1964     670     178
  852    1689     162
 1340    1160     267
 1403    1432     340
  496    1506     464
 1585     509     216
 1868    1915     202
  859    1701     295
  574     761     239
    2    1318     287
 1812     720     396
  363    1738     435
  384    1315      38
  841    1028     269
 1276     158     356
  478     237     464
 1876    1719     193
 1895     215     371
  949     742     112
  905    1272     333
   63    1448     384
  554      80     417
 1773    1329     480
  813     952      32
  771    1060     232
 1770     579      29
 1982    1248     464
 1891    1188     354
   53     322     210
 1878    1921     178
  863    1174     108
  781     131     464
  506     555     430
 1092    1116     348
 1662      96     123
  523     698     462
 1685     331     305
  461     940     132
 1144    1528     208
  521     949     113
  459    1060     414
  219     726     105
  912     262      61
 1893      31      98
 1828     719      88
    1     142     225
 1423    1817     491
    9    1431     205
   37    1743     375
  106     244      96
 1248    1538     217
  457     699     351
 1200    1071     318
   86    1132     164
  509    1278       5
 1980    1779      47
  254    1340      85
  760     932     111
  482     769     305
   67    1764     352
 1760    1798     420
   42     663     267
 1569     346     388
  864     928      78
  594    1310     279
  558    1044     349
 1063       2     356
 1082    1371     338
 1646     614     312
  139     576      11
  528    1222     173
   95    1671     485
 1702     407     417
 1855    1326     114
  990     464     307
  177    1085     288
  317     683     151
   18     404     206
  588     770      43
 1006    1542     152
 1804     399     485
 1790     806      30
  864     920     245
 1899    1560     389
  698    1552      41
 1581     226     142
  244    1354     396
 1868     266     483
  830    1102     356
  560    1747     353
 1249    1181     242
  175     791       6
 1694     889     364
  170     218     307
  164     121     253
 1537    1458      46
  180    1515     220
  553    1676     131
 1038     751     304
  379    1584     312
 1272     966     120
  296     326     112
 1725     132     362
  473     242      43
  230     599     195
 1489      19     374
 1428    1220     408
  687    1711     189
  386     630      92
 1975    1738     271
 1671    1650     324
 1297    1867     469
 1086      48      35
  157     378      57
  602    1138     138
  819     155      94
 1695     112     336
  200    1338     307
 1700     519     256
  141     983     447
  789     977     242
 1446    1607     141
  872    1880      17
  247    1004      61
 1729    1325      77
 1581     611     108
 1751    1350     254
 1232     882     188
  124    1277      10
  532    1847     498
 1890    1162     113
 1342    1311     437
 1057    1141     475
 1313       9     101
 1011     671     279
 1047    1170      74
 1250     787      47
 1007    1969     364
   23    1423     491
 1388     904      13
 1034     716     119
 1877    1849       2
 1034    1045     421
  302    1543     169
 1451     246     198
 1297     683      45
  407    1624     353
 1206     495     254
 1697    1858     229
 1763     442      21
 1621    1812      72
 1899    1111     243
  442     316     408
    4     714     414
  710     876     293
  182    1344      54
 1991    1555     187
 1227    1509     308
  444     296     113
 1902    1569     176
 1315    1182     175
 1928     649     403
 1760     714     157
 1420    1649     172
  928    1786     233
 1564     105     436
  722     713     466
  169     691     312
 1867     216      13
  746    1859     481
 1250     747     256
 1042     748     173
  941    1570     204
   30     620     184
 1425    1228     442
 1338    1020     406
 1076     137     348
  137    1901     451
  382     828      56
  705     766      83
  775    1158     487
   74    1981       7
  819     105     213
  267    1957     388
   87      85     394
   25     686      50
 1594    1428      92
  260     113     236
 1993    1850       9
  750     870     422
  258    1708     488
   59     591     386
  616     397     175
 1539    1408     229
 1557    1195     218
  402    1967     194
   81     578     474
 1190     944     219
  807     331     472
 1106     130     372
  422     440     272
 1342     628      85
  487     527     280
 1302    1211     235
  286      49      39
 1647    1650      65
  456    1489     165
 1291    1119     274
 1557      68      79
 1516     731     199
  299     864     184
 1770    1713     274
  478    1328      73
 1414     854     439
  972     929     414
  932      84     111
  297    1602     470
 1950     451      27
  423     200      63
  207    1733     432
 1580    1072     195
  992     730     302
 1318     895     475
  326    1859     406
 1189    1585      11
  972    1153     227
  813     414     133
 1237     114      34
 1731     330     341
  772     810     179
 1282     413     158
 1600     105     418
 1666      81     327
  987    1033      14
  304     622      97
 1425     733     184
  714    1228     356
 1866    1014     187
  445     809     422
 1542     407     378
  758    1963     182
 1084     997     255
 1445     902     446
  265    1473     141
 1809    1093     179
  802    1988     351
 1051     688     113
 1861    1083     426
 1792    1934     262
  454     937     267
  599    1929     271
  829    1309      75
 1610    1361     166
  728    1649     202
 1474     158     439
  974     352      72
  889    1686     490
  605     517     369
  575    1781     196
  538     740     138
  619     132     298
   88     205      42
 1503    1577     386
  279     834     497
  279     754     460
 1422    1267     209
 1363     177      92
 1974     461     222
   63     360     148
  948      70     444
  608    1005     350
  153    1861     149
  838     693     470
 1409     285     459
 1825    1521     264
 1595    1987      72
  923     578      16
